"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2010","2010",582,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2011","2011",606,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2012","2012",530,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2013","2013",620,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2014","2014",621,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2015","2015",644,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2016","2016",577,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2017","2017",658,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2018","2018",572,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2019","2019",469,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2020","2020",455,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2010","2010",72,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2011","2011",72,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2012","2012",87,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2013","2013",77,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2014","2014",65,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2015","2015",75,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2016","2016",84,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2017","2017",81,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2018","2018",81,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2019","2019",56,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2020","2020",44,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2010","2010",9.5,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2011","2011",8.2,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2012","2012",10,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2013","2013",8.4,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2014","2014",8.1,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2015","2015",6.9,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2016","2016",4.8,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2017","2017",8.4,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2018","2018",5.3,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2019","2019",5.8,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2020","2020",4.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2010","2010",9.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2011","2011",11,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2012","2012",10.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2013","2013",10.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2014","2014",10.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2015","2015",9.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2016","2016",10.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2017","2017",10,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2018","2018",9.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2019","2019",8.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y65-74","65-74 anni","2020","2020",6.7,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2010","2010",518,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2011","2011",421,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2012","2012",392,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2013","2013",453,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2014","2014",358,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2015","2015",465,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2016","2016",348,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2017","2017",425,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2018","2018",403,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2019","2019",372,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2020","2020",234,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2010","2010",18.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2011","2011",15,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2012","2012",18.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2013","2013",13.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2014","2014",11.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2015","2015",13.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2016","2016",12.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2017","2017",11.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2018","2018",11.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2019","2019",13,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y18-19","18-19 anni","2020","2020",10,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2010","2010",273,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2011","2011",270,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2012","2012",267,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2013","2013",251,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2014","2014",268,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2015","2015",228,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2016","2016",220,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2017","2017",259,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2018","2018",222,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2019","2019",229,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2020","2020",219,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2010","2010",10.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2011","2011",9.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2012","2012",8.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2013","2013",9.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2014","2014",9.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2015","2015",9.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2016","2016",8.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2017","2017",9.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2018","2018",9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2019","2019",6.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2020","2020",6.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2010","2010",10.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2011","2011",11.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2012","2012",9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2013","2013",10.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2014","2014",10.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2015","2015",9.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2016","2016",8.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2017","2017",9.8,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2018","2018",7.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2019","2019",7.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2020","2020",6.6,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2010","2010",198,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2011","2011",201,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2012","2012",183,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2013","2013",143,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2014","2014",131,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2015","2015",152,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2016","2016",144,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2017","2017",147,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2018","2018",133,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2019","2019",135,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2020","2020",109,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2010","2010",52,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2011","2011",56,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2012","2012",37,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2013","2013",32,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2014","2014",19,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2015","2015",64,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2016","2016",52,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2017","2017",38,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2018","2018",33,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2019","2019",48,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2020","2020",25,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2010","2010",12.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2011","2011",12.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2012","2012",12.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2013","2013",12.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2014","2014",12.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2015","2015",12.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2016","2016",11.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2017","2017",11.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2018","2018",11.5,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2019","2019",9.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE14","14 anni e più","2020","2020",8.9,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2010","2010",6.2,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2011","2011",5.4,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2012","2012",5,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2013","2013",5.5,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2014","2014",5.2,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2015","2015",5.8,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2016","2016",4.6,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2017","2017",4.5,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2018","2018",5.4,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2019","2019",5.8,,
"14_WALLET_POLICNAL","per niente","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2020","2020",4.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2010","2010",10.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2011","2011",13.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2012","2012",11.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2013","2013",10.2,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2014","2014",11.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2015","2015",9.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2016","2016",9.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2017","2017",11.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2018","2018",9.9,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2019","2019",10.6,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y14-17","14-17 anni","2020","2020",7.5,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2010","2010",354,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2011","2011",352,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2012","2012",327,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2013","2013",365,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2014","2014",356,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2015","2015",386,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2016","2016",348,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2017","2017",380,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2018","2018",359,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2019","2019",271,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2020","2020",271,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2010","2010",100,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2011","2011",70,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2012","2012",91,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2013","2013",94,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2014","2014",58,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2015","2015",65,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2016","2016",75,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2017","2017",70,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2018","2018",55,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2019","2019",75,,
"14_WALLET_POLICNAL","per niente","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2020","2020",56,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2010","2010",449,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2011","2011",443,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2012","2012",473,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2013","2013",493,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2014","2014",459,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2015","2015",410,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2016","2016",389,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2017","2017",368,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2018","2018",389,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2019","2019",334,,
"14_WALLET_POLICNM","poco","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2020","2020",253,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2010","2010",10.7,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2011","2011",10.4,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2012","2012",11.1,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2013","2013",11.3,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2014","2014",11,,
"14_WALLET_POLICNM","poco","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y60-64","60-64 anni","2015","2015",10.9,,
